hrs1,sex,racecen1,mntlhlth,depress,wrkstat
40,MALE,WHITE,5,Yes,Working full time
20,FEMALE,WHITE,1,No,Working part time
40,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
55,MALE,WHITE,20,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
46,FEMALE,WHITE,0,No,Working full time
40,FEMALE,WHITE,3,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,In school
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
42,FEMALE,WHITE,6,Yes,Working full time
9,FEMALE,WHITE,5,Yes,Working part time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,MALE,WHITE,0,No,Working full time
40,FEMALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
58,FEMALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
34,FEMALE,WHITE,0,No,Working part time
40,MALE,WHITE,0,No,Working full time
40,MALE,WHITE,10,No,Working full time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,5,Yes,"With a job, but not at work because of temporary illness, vacation, strike"
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
45,FEMALE,WHITE,3,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
40,MALE,WHITE,12,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
24,FEMALE,WHITE,2,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
35,FEMALE,WHITE,1,No,Working full time
55,MALE,WHITE,2,No,Working full time
38,FEMALE,WHITE,2,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
60,MALE,WHITE,0,No,Working full time
36,FEMALE,WHITE,0,No,Working part time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
32,FEMALE,WHITE,5,Yes,Working full time
40,FEMALE,WHITE,4,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,10,No,"With a job, but not at work because of temporary illness, vacation, strike"
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,FEMALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
48,FEMALE,WHITE,0,No,Working full time
45,FEMALE,WHITE,15,Yes,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
0,MALE,WHITE,0,No,Working part time
38,FEMALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,FEMALE,WHITE,3,Yes,"With a job, but not at work because of temporary illness, vacation, strike"
40,MALE,OTHER ASIAN,.n:  No answer,.n:  No answer,Working full time
40,MALE,WHITE,1,No,Working full time
20,MALE,WHITE,2,No,Working part time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
45,FEMALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
50,MALE,WHITE,10,No,Working full time
48,MALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,5,No,"With a job, but not at work because of temporary illness, vacation, strike"
35,FEMALE,WHITE,20,Yes,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
40,MALE,WHITE,0,Yes,Working full time
40,FEMALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,0,No,"With a job, but not at work because of temporary illness, vacation, strike"
40,FEMALE,WHITE,0,No,Working full time
32,FEMALE,WHITE,30,Yes,Working full time
45,FEMALE,WHITE,0,No,Working full time
40,FEMALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
18,FEMALE,WHITE,15,Yes,Working part time
40,FEMALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
55,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
45,FEMALE,WHITE,0,Yes,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,MALE,WHITE,30,No,Working full time
40,MALE,WHITE,0,No,Working full time
30,MALE,BLACK OR AFRICAN AMERICAN,0,No,Working part time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
36,MALE,WHITE,7,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
40,FEMALE,WHITE,5,Yes,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
30,FEMALE,WHITE,1,No,Working full time
89+ hrs,FEMALE,WHITE,20,Yes,Working full time
80,FEMALE,WHITE,5,No,Working full time
55,MALE,WHITE,0,No,Working full time
40,FEMALE,WHITE,2,Yes,Working full time
45,MALE,WHITE,1,No,Working full time
40,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
40,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Working full time
40,FEMALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,MALE,WHITE,0,Yes,Working full time
50,FEMALE,SAMOAN,14,Yes,Working full time
31,FEMALE,WHITE,30,No,Working part time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
40,MALE,WHITE,5,No,Working full time
45,MALE,WHITE,2,No,Working full time
50,MALE,WHITE,0,No,Working full time
26,FEMALE,WHITE,0,No,Working full time
60,FEMALE,WHITE,2,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
40,MALE,WHITE,20,Yes,Working full time
40,FEMALE,WHITE,0,No,Working full time
40,FEMALE,WHITE,-97,.s:  Skipped on Web,Working full time
.i:  Inapplicable,FEMALE,WHITE,10,Yes,"With a job, but not at work because of temporary illness, vacation, strike"
10,MALE,AMERICAN INDIAN OR ALASKA NATIVE,0,No,Working part time
36,FEMALE,WHITE,10,Yes,Working full time
41,FEMALE,WHITE,5,Yes,Working full time
40,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,HISPANIC,.i:  Inapplicable,.i:  Inapplicable,In school
48,FEMALE,WHITE,30,Yes,Working full time
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,GUAMANIAN OR CHAMORRO,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,HISPANIC,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
35,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,10,Yes,"With a job, but not at work because of temporary illness, vacation, strike"
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
45,MALE,WHITE,7,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
44,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
40,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,2,No,"With a job, but not at work because of temporary illness, vacation, strike"
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
4,MALE,HISPANIC,0,No,Working part time
40,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
10,MALE,WHITE,30,Yes,Working part time
54,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,FEMALE,HISPANIC,.i:  Inapplicable,.i:  Inapplicable,Keeping house
68,MALE,WHITE,15,No,Working full time
60,MALE,WHITE,0,No,Working full time
57,MALE,HISPANIC,5,No,Working full time
73,MALE,WHITE,0,No,Working full time
20,MALE,WHITE,0,No,Working part time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
40,FEMALE,WHITE,0,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
53,FEMALE,WHITE,0,No,Working full time
34,FEMALE,HISPANIC,0,No,Working part time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
10,FEMALE,WHITE,20,No,Working part time
40,MALE,WHITE,0,No,Working full time
60,MALE,WHITE,10,Yes,Working full time
40,FEMALE,WHITE,0,No,Working full time
34,FEMALE,WHITE,0,No,Working part time
.i:  Inapplicable,FEMALE,HISPANIC,.i:  Inapplicable,.i:  Inapplicable,Keeping house
42,FEMALE,WHITE,0,No,Working full time
40,FEMALE,HISPANIC,3,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
22,FEMALE,BLACK OR AFRICAN AMERICAN,0,No,Working part time
50,FEMALE,WHITE,25,Yes,Working full time
40,MALE,SOME OTHER RACE,0,Yes,Working full time
50,MALE,HISPANIC,0,No,Working full time
50,FEMALE,WHITE,20,No,Working full time
.i:  Inapplicable,FEMALE,FILIPINO,.i:  Inapplicable,.i:  Inapplicable,Retired
40,FEMALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
40,MALE,HISPANIC,0,No,Working full time
38,FEMALE,WHITE,7,Yes,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
.i:  Inapplicable,MALE,HISPANIC,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,FEMALE,.n:  No answer,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
0,FEMALE,WHITE,0,No,Working part time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
30,FEMALE,BLACK OR AFRICAN AMERICAN,7,Yes,Working part time
50,MALE,HISPANIC,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
15,FEMALE,BLACK OR AFRICAN AMERICAN,1,Yes,Working part time
20,FEMALE,BLACK OR AFRICAN AMERICAN,0,No,Working part time
65,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,HISPANIC,.i:  Inapplicable,.i:  Inapplicable,Keeping house
40,MALE,WHITE,0,No,Working full time
40,MALE,WHITE,1,No,Working full time
20,FEMALE,HISPANIC,0,No,Working part time
40,FEMALE,WHITE,-97,No,Working full time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
40,MALE,WHITE,1,No,Working full time
.i:  Inapplicable,FEMALE,CHINESE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
30,FEMALE,WHITE,5,Yes,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,FEMALE,WHITE,2,No,Working full time
40,FEMALE,WHITE,1,Yes,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
43,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
.i:  Inapplicable,MALE,WHITE,8,Yes,"With a job, but not at work because of temporary illness, vacation, strike"
50,MALE,WHITE,2,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
35,MALE,WHITE,6,Yes,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
44,MALE,AMERICAN INDIAN OR ALASKA NATIVE,0,Yes,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
45,MALE,BLACK OR AFRICAN AMERICAN,2,Yes,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,MALE,WHITE,0,No,Working full time
89+ hrs,FEMALE,HISPANIC,0,No,Working full time
30,MALE,AMERICAN INDIAN OR ALASKA NATIVE,1,Yes,Working part time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
40,FEMALE,WHITE,0,No,Working full time
40,FEMALE,HISPANIC,5,Yes,Working full time
40,MALE,WHITE,0,No,Working full time
15,FEMALE,WHITE,0,Yes,Working part time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,FEMALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,MALE,HISPANIC,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
40,FEMALE,.i:  Inapplicable,2,No,Working full time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
38,FEMALE,HISPANIC,15,Yes,Working full time
40,MALE,WHITE,30,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
30,MALE,WHITE,0,No,Working part time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
50,FEMALE,HISPANIC,0,No,Working full time
52,MALE,WHITE,10,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
30,FEMALE,WHITE,0,No,Working part time
60,FEMALE,WHITE,1,No,Working full time
50,MALE,SOME OTHER RACE,0,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
45,MALE,WHITE,0,No,Working full time
40,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,In school
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,ASIAN INDIAN,.i:  Inapplicable,.i:  Inapplicable,Keeping house
40,MALE,WHITE,5,No,Working full time
40,MALE,AMERICAN INDIAN OR ALASKA NATIVE,0,No,Working full time
24,FEMALE,WHITE,0,No,Working part time
60,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,In school
10,FEMALE,WHITE,2,Yes,Working part time
40,MALE,WHITE,7,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
28,FEMALE,WHITE,0,No,Working part time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
50,MALE,WHITE,2,No,Working full time
35,MALE,WHITE,5,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
10,MALE,WHITE,3,No,Working part time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,AMERICAN INDIAN OR ALASKA NATIVE,12,No,"With a job, but not at work because of temporary illness, vacation, strike"
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
60,MALE,WHITE,5,No,Working full time
.i:  Inapplicable,MALE,HISPANIC,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
40,FEMALE,AMERICAN INDIAN OR ALASKA NATIVE,0,No,Working part time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
6,MALE,WHITE,0,No,Working part time
.i:  Inapplicable,MALE,HISPANIC,.i:  Inapplicable,.i:  Inapplicable,Keeping house
40,MALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
50,FEMALE,WHITE,7,No,Working full time
40,MALE,WHITE,0,No,Working full time
40,MALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
35,MALE,HISPANIC,2,No,Working part time
40,FEMALE,OTHER ASIAN,2,No,Working full time
60,MALE,HISPANIC,5,Yes,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
50,MALE,SOME OTHER RACE,0,No,Working full time
45,MALE,WHITE,3,No,Working full time
.i:  Inapplicable,MALE,HISPANIC,0,No,"With a job, but not at work because of temporary illness, vacation, strike"
4,MALE,WHITE,0,No,Working part time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
60,MALE,WHITE,0,No,Working full time
45,FEMALE,FILIPINO,0,No,Working full time
40,FEMALE,WHITE,14,Yes,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
40,MALE,WHITE,0,No,Working full time
40,FEMALE,WHITE,20,Yes,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
40,MALE,HISPANIC,2,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,OTHER ASIAN,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
45,FEMALE,HISPANIC,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,In school
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,In school
48,FEMALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
.i:  Inapplicable,FEMALE,AMERICAN INDIAN OR ALASKA NATIVE,.i:  Inapplicable,.i:  Inapplicable,Retired
30,FEMALE,WHITE,0,No,Working part time
.i:  Inapplicable,MALE,HISPANIC,.i:  Inapplicable,.i:  Inapplicable,Retired
40,FEMALE,WHITE,2,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,FEMALE,HISPANIC,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,FEMALE,HISPANIC,.i:  Inapplicable,.i:  Inapplicable,Other
15,FEMALE,HISPANIC,7,No,Working part time
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
20,FEMALE,HISPANIC,0,No,Working part time
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
27,MALE,WHITE,15,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
27,FEMALE,HISPANIC,5,No,Working part time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
40,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,MALE,AMERICAN INDIAN OR ALASKA NATIVE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,HISPANIC,.i:  Inapplicable,.i:  Inapplicable,In school
.i:  Inapplicable,FEMALE,HISPANIC,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
40,FEMALE,AMERICAN INDIAN OR ALASKA NATIVE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
60,MALE,HISPANIC,0,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,MALE,WHITE,0,Yes,"With a job, but not at work because of temporary illness, vacation, strike"
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,2,No,"With a job, but not at work because of temporary illness, vacation, strike"
